A股代码,公司全称,B股代码,所属行业
601118,海南天然橡胶产业集团股份有限公司,-,A 农林牧渔
600965,河北福成五丰食品股份有限公司,-,A 农林牧渔
600540,新疆赛里木现代农业股份有限公司,-,A 农林牧渔
600354,甘肃省敦煌种业股份有限公司,-,A 农林牧渔
600257,大湖水殖股份有限公司,-,A 农林牧渔
600097,上海开创国际海洋资源股份有限公司,-,A 农林牧渔
600506,新疆库尔勒香梨股份有限公司,-,A 农林牧渔
600359,新疆塔里木农业综合开发股份有限公司,-,A 农林牧渔
600265,云南景谷林业股份有限公司,-,A 农林牧渔
600108,甘肃亚盛实业(集团)股份有限公司,-,A 农林牧渔
600598,黑龙江北大荒农业股份有限公司,-,A 农林牧渔
600371,万向德农股份有限公司,-,A 农林牧渔
600975,湖南新五丰股份有限公司,-,A 农林牧渔
600467,山东好当家海洋发展股份有限公司,-,A 农林牧渔
600532,上海宏达矿业股份有限公司,-,B 采矿业
600711,盛屯矿业集团股份有限公司,-,B 采矿业
600766,烟台园城黄金股份有限公司,-,B 采矿业
600714,青海金瑞矿业发展股份有限公司,-,B 采矿业
603993,洛阳栾川钼业集团股份有限公司,-,B 采矿业
601101,北京昊华能源股份有限公司,-,B 采矿业
600157,永泰能源股份有限公司,-,B 采矿业
600971,安徽恒源煤电股份有限公司,-,B 采矿业
601225,陕西煤业股份有限公司,-,B 采矿业
600489,中金黄金股份有限公司,-,B 采矿业
600348,阳泉煤业（集团）股份有限公司,-,B 采矿业
600397,安源煤业集团股份有限公司,-,B 采矿业
600547,山东黄金矿业股份有限公司,-,B 采矿业
600403,河南大有能源股份有限公司,-,B 采矿业
600259,广晟有色金属股份有限公司,-,B 采矿业
600188,兖州煤业股份有限公司,-,B 采矿业
600583,海洋石油工程股份有限公司,-,B 采矿业
600123,山西兰花科技创业股份有限公司,-,B 采矿业
600508,上海大屯能源股份有限公司,-,B 采矿业
600028,中国石油化工股份有限公司,-,B 采矿业
600121,郑州煤电股份有限公司,-,B 采矿业
600339,中国石油集团工程股份有限公司,-,B 采矿业
600311,甘肃荣华实业（集团）股份有限公司,-,B 采矿业
600395,贵州盘江精煤股份有限公司,-,B 采矿业
600871,中石化石油工程技术服务股份有限公司,-,B 采矿业
601088,中国神华能源股份有限公司,-,B 采矿业
601857,中国石油天然气股份有限公司,-,B 采矿业
