A股代码,公司简称,公司全称,所属行业,A股上市日期,B股代码,省份,城市,公司网址,注册地址
000001,平安银行,平安银行股份有限公司,J 金融业,1991-04-03,,广东,深圳市,www.bank.pingan.com,广东省深圳市罗湖区深南东路5047号
000002,万  科Ａ,万科企业股份有限公司,K 房地产,1991-01-29,,广东,深圳市,www.vanke.com,广东省深圳市盐田区大梅沙环梅路33号万科中心
000004,国农科技,深圳中国农大科技股份有限公司,C 制造业,1990-12-01,,广东,深圳市,www.sz000004.cn,广东省深圳市南山区中心路（深圳湾段）3333号中铁南方总部大厦503室
000005,世纪星源,深圳世纪星源股份有限公司,N 公共环保,1990-12-10,,广东,深圳市,www.fountain.com.cn,广东省深圳市人民南路发展中心大厦13层
000006,深振业Ａ,深圳市振业(集团)股份有限公司,K 房地产,1992-04-27,,广东,深圳市,www.zhenye.com,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层
000007,全新好,深圳市全新好股份有限公司,H 住宿餐饮,1992-04-13,,广东,深圳市,,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼
000008,神州高铁,神州高铁技术股份有限公司,C 制造业,1992-05-07,,北京,北京市,www.shenzhou-gaotie.com,北京市海淀区高梁桥斜街59号院1号楼16层1606
000009,中国宝安,中国宝安集团股份有限公司,S 综合,1991-06-25,,广东,深圳市,www.chinabaoan.com,广东省深圳市笋岗东路1002号宝安广场A座28-29层
000010,美丽生态,深圳美丽生态股份有限公司,E 建筑业,1995-10-27,,广东,深圳市,,广东省深圳市宝安区西乡街道宝安桃花源科技创新园主园A栋孵化大楼321-322室
000011,深物业A,深圳市物业发展(集团)股份有限公司,K 房地产,1992-03-30,200011,广东,深圳市,www.szwuye.com.cn,广东省深圳市人民南路国贸大厦39、42层
000012,南  玻Ａ,中国南玻集团股份有限公司,C 制造业,1992-02-28,200012,广东,深圳市,www.csgholding.com,广东省深圳市蛇口工业六路一号南玻大厦
000014,沙河股份,沙河实业股份有限公司,K 房地产,1992-06-02,,广东,深圳市,www.shahe.cn,广东省深圳市南山区白石路2222号沙河世纪楼
000016,深康佳Ａ,康佳集团股份有限公司,C 制造业,1992-03-27,200016,广东,深圳市,www.konka.com,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层
000017,深中华A,深圳中华自行车(集团)股份有限公司,C 制造业,1992-03-31,200017,广东,深圳市,www.cbc.com.cn,广东省深圳市布心路三零零八号
000018,神州长城,神州长城股份有限公司,E 建筑业,1992-06-16,200018,广东,深圳市,www.udcgroup.com,广东省深圳市大鹏新区葵涌街道白石岗葵鹏路26号
000019,深深宝Ａ,深圳市深宝实业股份有限公司,C 制造业,1992-10-12,200019,广东,深圳市,www.sbsy.com.cn,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层
000020,深华发Ａ,深圳中恒华发股份有限公司,C 制造业,1992-04-28,200020,广东,深圳市,www.hwafa.com.cn,广东省深圳市福田区华发北路411幢
000021,深科技,深圳长城开发科技股份有限公司,C 制造业,1994-02-02,,广东,深圳市,www.kaifa.com.cn,广东省深圳市福田区彩田路7006号
000022,深赤湾Ａ,深圳赤湾港航股份有限公司,G 运输仓储,1993-05-05,200022,广东,深圳市,www.szcwh.com,广东省深圳市赤湾
000023,深天地Ａ,深圳市天地(集团)股份有限公司,C 制造业,1993-04-29,,广东,深圳市,www.000023.cn,广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼
000025,特  力Ａ,深圳市特力(集团)股份有限公司,F 批发零售,1993-06-21,200025,广东,深圳市,www.tellus.cn,广东省深圳市深南中路中核大厦
000026,飞亚达Ａ,飞亚达（集团）股份有限公司,F 批发零售,1993-06-03,200026,广东,深圳市,www.fiytagroup.com,广东省深圳市南山区高新南一道飞亚达科技大厦
000027,深圳能源,深圳能源集团股份有限公司,D 水电煤气,1993-09-03,,广东,深圳市,www.sec.com.cn,广东省深圳市福田区深南中路2068号华能大厦5，33，35-36，38-41层
000028,国药一致,国药集团一致药业股份有限公司,F 批发零售,1993-08-09,200028,广东,深圳市,www.szaccord.com.cn,广东省深圳市福田区八卦四路15号一致药业大楼
000029,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,K 房地产,1993-09-15,200029,广东,深圳市,www.sfjt.com.cn,广东省深圳市人民南路3005号深房广场47楼
000030,富奥股份,富奥汽车零部件股份有限公司,C 制造业,1993-09-29,200030,吉林,长春市,,吉林省长春市汽车经济技术开发区东风南街777号
000031,中粮地产,中粮地产（集团）股份有限公司,K 房地产,1993-10-08,,广东,深圳市,www.cofco-property.cn,广东省深圳市宝安区新城二区湖滨路
000032,深桑达Ａ,深圳市桑达实业股份有限公司,F 批发零售,1993-10-28,,广东,深圳市,www.sedind.com,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼
000033,新都退,深圳新都酒店股份有限公司,H 住宿餐饮,1994-01-03,,广东,深圳市,www.szcphotel.com,广东省深圳市春风路一号
000034,神州数码,神州数码集团股份有限公司,F 批发零售,1994-05-09,,广东,深圳市,www.digitalchina.com,广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1
000035,中国天楹,中国天楹股份有限公司,N 公共环保,1994-04-08,,江苏,南通市,www.chinakejian.net,江苏省海安县城黄海大道（西）268号
000036,华联控股,华联控股股份有限公司,K 房地产,1994-06-17,,广东,深圳市,www.udcgroup.com,广东省深圳市深南中路2008号华联大厦11层(1103-1109室)
000037,深南电A,深圳南山热电股份有限公司,D 水电煤气,1994-07-01,200037,广东,深圳市,www.nsrd.com.cn,广东省深圳市南山区月亮湾大道2097号
000038,深大通,深圳大通实业股份有限公司,L 商务服务,1994-08-08,,广东,深圳市,www.chinadatong.com,广东省深圳市华侨城东部工业区
000039,中集集团,中国国际海运集装箱(集团)股份有限公司,C 制造业,1994-04-08,,广东,深圳市,www.cimc.com,广东省深圳市南山蛇口工业区港湾大道2号中集研发中心8楼
000040,东旭蓝天,东旭蓝天新能源股份有限公司,K 房地产,1994-08-08,,广东,深圳市,www.bahjdc.com,广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼
000042,中洲控股,深圳市中洲投资控股股份有限公司,K 房地产,1994-09-21,,广东,深圳市,www.zztzkg.com,广东省深圳市福田区百花五路长源楼
000043,中航地产,中航地产股份有限公司,K 房地产,1994-09-28,,广东,深圳市,www.carec.com.cn,广东省深圳市福田区振华路163号飞亚达大厦六楼
000045,深纺织Ａ,深圳市纺织(集团)股份有限公司,C 制造业,1994-08-15,200045,广东,深圳市,www.chinasthc.com,广东省深圳市福田区华强北路3号深纺大厦6楼
000046,泛海控股,泛海控股股份有限公司,K 房地产,1994-09-12,,北京,北京市,www.fhjs.cn,北京市东城区建国门内大街28号民生金融中心C座22层
000048,康达尔,深圳市康达尔(集团)股份有限公司,C 制造业,1994-11-01,,广东,深圳市,www.kondarl.com,广东省深圳市罗湖区深南东路1086号集浩大厦二、三楼
000049,德赛电池,深圳市德赛电池科技股份有限公司,C 制造业,1995-03-20,,广东,深圳市,www.desaybattery.com,广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦26楼
000050,深天马Ａ,天马微电子股份有限公司,C 制造业,1995-03-15,,广东,深圳市,www.tianma.cn,广东省深圳市深南中路中航苑航都大厦22层南
000053,深基地Ｂ,深圳赤湾石油基地股份有限公司,G 运输仓储,,200053,广东,深圳市,www.chiwanbase.com,广东省深圳市南山区赤湾基地楼
000054,建摩B,重庆建设摩托车股份有限公司,C 制造业,,200054,重庆,重庆市,www.jianshe.com.cn,重庆市巴南区花溪工业园建设大道1号
000055,方大集团,方大集团股份有限公司,C 制造业,1996-04-15,200055,广东,深圳市,www.fangda.com,广东省深圳市高新区科技南十二路方大大厦
000056,皇庭国际,深圳市皇庭国际企业股份有限公司,K 房地产,1996-07-08,200056,广东,深圳市,www.china-ia.com,广东省深圳市福田区金田路2028号皇岗商务中心58楼03单元
000058,深 赛 格,深圳赛格股份有限公司,L 商务服务,1996-12-26,200058,广东,深圳市,www.segcl.com.cn,广东省深圳市福田区华强北路群星广场A座三十一楼
000059,华锦股份,北方华锦化学工业股份有限公司,C 制造业,1997-01-30,,辽宁,盘锦市,www.hjch.com,辽宁省盘锦市双台子区红旗大街
000060,中金岭南,深圳市中金岭南有色金属股份有限公司,C 制造业,1997-01-23,,广东,深圳市,www.nonfemet.com,广东省深圳市福田区车公庙深南大道6013号中国有色大厦24-26楼
000061,农 产 品,深圳市农产品股份有限公司,L 商务服务,1997-01-10,,广东,深圳市,www.szap.com,广东省深圳市罗湖区布吉路1019号农产品批发市场第一层
000062,深圳华强,深圳华强实业股份有限公司,L 商务服务,1997-01-30,,广东,深圳市,www.szhq000062.com,广东省深圳市福田区华强北路华强广场A座5楼
000063,中兴通讯,中兴通讯股份有限公司,C 制造业,1997-11-18,,广东,深圳市,www.zte.com.cn,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦
000065,北方国际,北方国际合作股份有限公司,E 建筑业,1998-06-05,,北京,北京市,www.norinco-intl.com,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302)
000066,中国长城,中国长城科技集团股份有限公司,C 制造业,1997-06-26,,广东,深圳市,www.greatwall.cn,广东省深圳南山区科技工业园长城计算机大厦
000068,华控赛格,深圳华控赛格股份有限公司,C 制造业,1997-06-11,,广东,深圳市,www.ssg.com.cn,广东省深圳市大工业区兰竹大道以北CH3主厂房
000069,华侨城Ａ,深圳华侨城股份有限公司,N 公共环保,1997-09-10,,广东,深圳市,www.octholding.com,广东省深圳市南山区华侨城
000070,特发信息,深圳市特发信息股份有限公司,C 制造业,2000-05-11,,广东,深圳市,www.sdgi.com.cn,广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼
